record_id,transaction_date,location_id,region,subregion,country,state_province,city,plant,business_unit,market,sales_territory,latitude,longitude,product_id,product_line,product_family,product_category,product_subcategory,brand,sku,strategic_product_flag,launch_year,product_active_flag,customer_id,key_customer,customer_name,customer_group,customer_segment,industry,channel,account_manager,global_account_flag,customer_tier,customer_country,customer_region,customer_active_flag,scenario_id,scenario,scenario_type,version,currency_id,currency_code,currency_name,fx_rate_to_usd,fx_rate_date,reporting_currency_flag,revenue_usd,gross_sales_usd,discounts_usd,returns_usd,net_sales_usd,cogs_usd,gross_profit_usd,sgna_usd,rd_usd,ebit_usd,ebitda_usd,net_income_usd,depreciation_amortization,interest_amount,taxes_pct,order_backlog_usd,bookings_usd,pipeline_usd,capex_usd,opex_usd,working_capital_usd,cash_conversion_pct,headcount,productivity_per_head_usd,estimated_market_share_pct,on_time_delivery_pct,customer_quality_ppm,lost_time_incidents,inventory_usd,units_sold,price_per_unit
REC100006,2024-11-17,LOC005,Europe,Southern Europe,Spain,Catalonia,Barcelona,Barcelona Plant,Consumer,EMEA,Iberia,41.39,$2.17,PROD001,Alpha,Sensors,Hardware,Pressure Sensors,Auron,AUR-AL-4858,TRUE,2019,Y,CUST001,Yes,Acme Industrial LLC,Acme Group,Enterprise,Manufacturing,Direct,S. Müller,0,Tier 3,Spain,Europe, y ,SCN001,Actual,Actual,v1,CUR002,eur,Euro,$1.06,2024-11-01,N,13952865.08,15226396.88,609239.79,"$615,766.06",14001391.03,9791673.58,4209717.45,"2,110,848.98",824610.01,1274258.47,1422160.31,932860.93,147901.84,112963.49,0.1967,12737159.36,17035340.78,54788208.68,941613.59,,"$3,025,888.65",59.59,1671,8350.01,0.256,,1166,0,"18,577,944.18",4600,3307.86
REC100011,2024-05-08,LOC003,North America,Mexico,Mexico,Nuevo León,Monterrey,Monterrey Hub,Industrial,LATAM,Mexico North,25.69,-100.32,PROD005,Gamma,Drives,Hardware,Variable Frequency Drives,Voltis,VOL-GA-1251,No,2018,Y,CUST013,,FreshWave Beverages,FreshWave,,Food & Beverage,Reseller,S. Müller,No,Growth,India,Asia Pacific,TRUE,SCN001,Actual,ACTUAL, v1,CUR003,MXN,Mexican Peso,$0.06,2024-05-01,,12041509.52,,717406.93,269706.83,11963750.04,7136684.55,4827065.5,"1,144,923.59",158598.35,3523543.57,3681020.22,"2,666,126.56","157,476.66",,0.2165,26089716.38,13782706.32,"18,883,284.52",529165.55,1522064.29,1115708.68,0.4046,3149,3823.92,0.2253,0.9244,1792,0,12782930.78,2613,5333.85
REC100012,2024-07-13,LOC010,Latin America,Brazil,Brazil,São Paulo,Campinas,CAMPINAS PLANT,Consumer,LATAM,Brazil Southeast,(22.91),-47.06,PROD010,Zeta,Edge Devices,Hardware,Gateways,Auron,AUR-ZE-6798,TRUE,2024,Active,CUST013,No,FreshWave Beverages,FreshWave,SMB,Food & Beverage,Reseller,S. Müller,No,Tier 1,Brazil,Latin America,Y,SCN005,Prior Year,Historical,PY,CUR008,BRL,Brazilian Real,0.21,2024-07-01,F,9180667.87,11785091.75,998980.21,389303.95,10396807.59,6919956.76,3476850.83,1785420.11,"608,037.95",1083392.77,"1,221,478.18",718410.53,138085.41,49654.92, 30.50% ,21237518.67,12266241.12,27538179.34,200468.4,,1828155.08,0.6199,1134,9024.18,0.0433,0.7988,3545,0,8910025.61,3840,3102.87
REC100013,2025-01-19,LOC004,Europe,Western Europe,Germany,Bavaria,Munich,Munich Works,Automotive,EMEA,DACH,48.14,11.58,PROD005,Gamma,Drives,Hardware,Variable Frequency Drives,Voltis,VOL-GA-3838,Inactive,2018,1,CUST003,Inactive,RetailNova SA,RetailNova,Mid-Market,Retail,Distributor,A. Brown,Inactive,Strategic,Germany,Europe,Y,SCN002,Budget,Plan,FY26.1,CUR002,EUR,Euro,1.06,01-Jan-2025,N,3290192.23,3404673.66,"151,421.00",66159.49,,1639025.2,1548067.97, 348278.81 ,52416.57, 1147372.58 ,"$1,201,237.96","$740,607.54",53865.38,"$45,016.41",32.8%,6313901.08,4596212.94,14758009.21,121659.25,423497.49,374100.59,0.63,609,5231.37,0.1966,0.8699,1144,0,1765004.04,3898,812.85
REC100014,2023-09-28,LOC008,Asia Pacific,East Asia,Japan,Tokyo,Tokyo,Tokyo Center,Technology,APAC,Japan,35.68,139.65,PROD001,Alpha,Sensors,Hardware,Pressure Sensors,Auron,AUR-AL-5059,TRUE,2019, y ,CUST001,Y,Acme Industrial LLC,Acme Group,Enterprise,Manufacturing,Direct,PRIYA NAIR,No,Tier 3,United States,North America,Yes,SCN002,budget,Plan,FY26.1,CUR006,JPY,Japanese Yen,0.01,2023-09-01,N,4385915.79,"4,811,251.86", 514365.11 ,,4263898.57,3010087.86,1253810.72,"335,315.00",338854.2,579641.52,646644.94,465580.77,67003.43,49244.4,0.1222,6252796.01,5515096.2,18797665.72,288962.14,693894.09,"$919,727.72",0.8649,919,4726.35,0.0375,0.8016,6179,0,"$4,719,861.82",2025,2449.07
REC100015,2025-05-09,LOC011,Middle East & Africa,MIDDLE EAST,United Arab Emirates,Dubai,Dubai,Dubai Distribution,Industrial,MEA,GCC,,55.27,PROD007,Delta,Software,Software,Monitoring Platform,Synapse,SYN-DE-3230,T,2020,1,CUST010,,Vertex Mining Plc,Vertex Resources,Mid-Market,Mining,Distributor,J. Smith,,Tier 3,United Arab Emirates,Middle East & Africa,T,SCN001,Actual,Actual,v1,CUR009,AED,UAE Dirham,0.27,05/01/2025,F,"$1,211,750.77",1313031.6,46562.7,,1210960.21,440274.7,770685.51, 150382.03 ,"$73,980.53",546322.95,586564.15,380651.84,40241.21,13438.87,0.2857,1894497.82,1292808.67,"$1,817,085.83",84362.03,229114.14,210040.43,98.82,1639,739.32,0.2678,0.9381,2620,0,"340,674.86",142,
REC100016,2024-10-22,LOC006,Europe,NORTHERN EUROPE,United Kingdom,England,Manchester,Manchester Site,technology,EMEA,UKI,$53.48,-2.24,PROD012,Theta,Power,Hardware,Power Supplies,Voltis,Vol-Th-9129,,2014,T,cust013,No,FreshWave Beverages,freshwave,SMB,Food & Beverage,Reseller,R. Patel,Inactive,Strategic,United Kingdom,Europe,TRUE,SCN002,Budget,Plan,FY26.1,CUR004,GBP,Pound Sterling,1.23,2024-10-01,0,,6571203.03,295054.73,232352.13,6043796.18,4513990.88,1529805.3,881906.25,"84,133.50",563765.54,785097.01,361948.61,221331.47,"100,690.71",0.2184,7104765.67,8224766.07,"13,645,623.82",61913.32,"$1,094,354.49",1604262.98,0.9881,3187,"1,911.75",0.3669,0.787,4949,0,,1440,4572.7
REC100017,2025-02-23,LOC002,north america,US & Canada,United States,California,San Jose,Silicon Plant,Technology,Enterprise,west,37.34,,PROD005,Gamma, Drives, Hardware ,Variable Frequency Drives,Voltis,VOL-GA-8237,Inactive,2018, y ,CUST018,Y,Nimbus Data Centers,Nimbus,Key Accounts,Technology,Direct,M. Chen,Y,Growth,China,Asia Pacific,TRUE,SCN004,Forecast,Rolling Forecast,RF_Q2,CUR001,USD,US Dollar,,01-Feb-2025,Yes,15969325.93,17432187.76,"$1,341,443.09",604601.66,"$15,486,143.01",11566170.7,3919972.32,1647867.63,169410.39,2102694.3,2719507.26,1173915.95,616812.96,287655.57,0.3532,24504044.14,13628269.08,28809407.42,535741.45,"$2,041,551.51",4604186.2, 42.37% ,963, 15790.71 ,5.5%, 98.95% ,3644,1,10564416.61,4836,3822.49
REC100018,12-Dec-2023,LOC003,North America,Mexico,Mexico,Nuevo León,Monterrey,Monterrey Hub,Industrial,LATAM,,25.69,-100.32,PROD006,Delta,Software,Software,Analytics Suite,Synapse,SYN-DE-5764,,2023,Y,cust002,Yes,BluePeak Energy,BluePeak Holdings,Key Accounts,Energy,Direct,J. Smith, y ,Tier 1,Mexico,North America,Yes,SCN001,Actual,Actual,v1,CUR003,MXN,Mexican Peso,0.06,2023-12-01,,13808331.44,14918400.75,1188752.32,300899.28,13428749.15,"5,776,629.79",,876649.49,,6507484.84,6842183.74,5157325.51,334698.9,30260.18,0.2038,13423061.19,18065105.4,62022363.96,916898.39, 1247709.49 ,4169120.78,0.6083,558,24746.11,0.0435,0.8882,2522,0,9925117.2,344,"42,587.38"
REC100019,2025-10-12,LOC009,Asia Pacific,South Asia,india,Karnataka,Bengaluru,Bengaluru Hub,Services,APAC,India,12.97,77.59,PROD010,,Edge Devices,Hardware,Gateways,Auron,AUR-ZE-8474, y ,2024,TRUE,CUST002,T,BluePeak Energy,BluePeak Holdings,Key Accounts,Energy,Direct,R. Patel,1,Growth,Mexico,North America,Active,SCN001, actual,Actual,v1,CUR007,INR,Indian Rupee,0.01,2025-10-01,FALSE,3125264.12,3450491.9,226912.03,"94,974.03","3,128,605.85",2268649.06,859956.79,,119869.92,, 620840.41 ,380174.58,102998.08,11214.04,0.2496,6928124.68,"3,199,751.16","$11,708,812.91","36,250.63","$379,940.12",285856.09,0.7618,402,7774.29,0.3019,0.9871,5237,0,2752643.52,763,4688.69
REC100020,2024-07-25,LOC003,NORTH AMERICA,Mexico,Mex,Nuevo León,Monterrey,Monterrey Hub, Industrial,LATAM,Mexico North,25.69,$-100.32,PROD012,Theta,Power,Hardware,Power Supplies,Voltis,Vol-Th-6424,N,2014,Yes,CUST017,N,RapidLogix,RapidLogix,SMB,Logistics,Distributor,M. Chen,F,Tier 1,,North America,T,SCN001,Actual,Actual,v1,CUR003,MXN,Mexican Peso,0.06,2024-07-01,,,1327424.05,150164.04,2650.9,1174609.11,774142.7,400466.42,197701.44,24237.08,178527.9,229888.39,114558.81,51360.49,"8,716.52",32.54,738148.24,1389624.4,"4,912,807.45",69066.66,256552.45,297307.47,0.9397,682,1767.82,0.161,0.8955,768,0,1403857.29,1215,1098.45
REC100021,2023-06-04,,Europe,Southern Europe,Spain,Catalonia,Barcelona,Barcelona Plant,Consumer,EMEA,Iberia,41.39,2.17,PROD003,Beta,Controllers,Hardware,Programmable Controllers,Nexa,nex-be-3608,0,2017,Y,CUST018,1,Nimbus Data Centers,Nimbus,Key Accounts,Technology,Direct,S. Müller,1,Growth,Spain,Europe, y ,SCN001,Actual,Actual,v1,CUR002,Eur,Euro,1.11,2023-06-01,,"17,033,231.56",17779250.79,593892.32,32586.09,17152772.38,12833631.92,4319140.46,2325140.57,366172.3,1627827.6,"1,901,334.03",954408.27,"$273,506.43",155489.37,0.3518,38861387.76,"20,001,790.22",32839102.32,938549.55,2737585.7,3345956.54,0.3579,1008,16898.05,0.323,0.9534,5045,0,20681779.17,4304,3960.29
REC100022,2024-01-02,LOC011,Middle East & Africa,Middle East,united arab emirates,Dubai,Dubai,Dubai Distribution,Industrial,MEA,GCC,,55.27,PROD007,Delta,Software,Software,Monitoring Platform,Synapse,SYN-DE-2311,Y,2020,Active,CUST007,TRUE,Skyline Telecom, Skyline Group ,Enterprise,Telecom,Direct,M. Chen,FALSE,Strategic,India,Asia Pacific,Yes,SCN001,Actual,ACTUAL,v1,CUR009,AED,UAE Dirham,0.27,2024-01-01, n ,63086939.86,65641295.01,3531125.72,453149.82,61657019.47,28640847.81, 33016171.65 ,5682803.1,3929598.82,23403769.74,26361445.07,17326611.53,2957675.33,234605.89,0.2522,148978843.31,80899197.77,261003764.0,4517706.25,9710917.46,12902110.55,0.8269,403,156543.28,0.3137,88.1%,4932,0,14392848.88,1156,54396.68
REC100023,2025-02-19,LOC002,North America,US & Canada,United States,California,San Jose,Silicon Plant, Technology  ,Enterprise,West,37.34,(121.89),PROD012,Theta,Power,Hardware,Power Supplies,Voltis,VOL-TH-9821,,2014,Active,CUST009,1,GreenGrid Utilities,GreenGrid,Enterprise,Utilities,Direct,M. Chen,0,Tier 3,India,Asia Pacific,T,SCN003,Forecast,Rolling Forecast,RF_Q1,CUR001,USD,US Dollar,0.98,2025-02-01,Yes,3387410.96,3878263.71,419859.84,122291.74,3336112.14,1917324.28,1418787.86,427445.46,37612.5,953729.9,1101653.37,806592.27,147923.48,9537.17,0.1457,2486749.44,3320346.77,6436411.34,287173.46,474760.75,"1,068,896.87", 54.48% ,1505,"2,231.54",0.2151,98.0%,2126,0,2030096.4,1375,2995.76
REC100024,2025-02-27,LOC004,Europe,Western Europe,Germany, Bavaria ,Munich,Munich Works,Automotive,EMEA,DACH,48.14,11.58,PROD005, Gamma  ,Drives,Hardware,Variable Frequency Drives,Voltis,VOL-GA-1688, n ,2018,Yes,CUST013,No,FreshWave Beverages,FreshWave,SMB,Food & Beverage,Reseller,J. Smith,No,Strategic,Germany,Europe,No,SCN003,Forecast,Rolling Forecast,RF_Q1,CUR002,EUR,Euro,1.1,2025-02-01,No,5862293.93,6361567.1,129366.5,211842.69,6020357.91, 3592569.64 ,2427788.27,1171380.71,171010.56, 1085396.99 ,1183796.48,682555.26,98399.48,90957.18,0.3136,4258792.95,7340386.6,19155714.83,219982.84,,576402.03,,492,12119.3,0.0935, 87.33% ,138,0, 3024081.68 ,3778,1622.75
REC100025,2026-02-07,,Europe,Western Europe,Germany,Bavaria,Munich,MUNICH WORKS,Automotive,EMEA,DACH, 48.14 ,11.58,PROD004,Gamma,Drives,Hardware,Servo Drives,Voltis,VOL-GA-6478,TRUE,2022,T,CUST011,Yes,Apex Robotics,Apex Group,Key Accounts,technology,Direct,D. Johnson,Y,Strategic, Polska ,Europe, n ,SCN001,Actual,Actual,v1,CUR002,EUR,Euro,1.08,2026-02-01,N,26150771.69,27095543.69,683482.41,497315.53,25914745.75,14250473.2,11664272.55,4497514.31,189116.18, 6977642.07 ,7651216.32,"4,477,472.86",673574.26,"$479,989.62",31.1%,"59,632,228.84",32635359.97,57783457.57,2204862.36,5227633.81,"$6,914,117.27",1.0307,2468,10595.94,,0.788,4735,0,23487559.42,4824,
REC100026,2026-01-13,LOC010,Latin America,Brazil,brazil,São Paulo,Campinas,Campinas Plant,Consumer,LATAM,Brazil Southeast,(22.91),-47.06,PROD006,Delta,Software,Software,ANALYTICS SUITE,SYNAPSE,SYN-DE-2749,1,2023,Y,CUST015,1,Helios Aerospace,Helios,Enterprise,AEROSPACE,OEM,M. Chen,0,Tier 1,Brazil,Latin America,Y,SCN001,Actual,Actual,v1,CUR008,BRL,Brazilian Real,0.2,2026-01-01,,7764781.9,8156477.6,"$202,915.01",406064.45,7547498.14,3480379.24,4067118.9,1438735.74,556880.14,2071503.02,2242830.08,1254497.3,171327.06,"90,812.44",0.3666,6904390.01,7105652.94,29153114.09,"585,753.08",2173918.96,"2,808,072.87",0.6605,1714,4530.21,0.1188,0.9403,5232,3,2916814.88,434,"18,722.42"
REC100027,2024-09-04,LOC003,North America,Mexico,Mexico,Nuevo León,Monterrey,Monterrey Hub,Industrial,LATAM,Mexico North,25.69,$-100.32,PROD008,Epsilon,Services, Services  ,Implementation,ConsultPro,CON-EP-9132,0,2016, y ,CUST019,No,BrightHome Retail,BRIGHTHOME,SMB,Retail,marketplace,D. Johnson,0,Tier 2,Mexico,North America,TRUE,SCN001,Actual,,v1,CUR003,Mxn,MEXICAN PESO,0.06,2024-09-01,Inactive,18070285.91,18852417.17,1164888.08,23004.33,17664524.76,10223565.54,7440959.22,2083108.64,180993.09,5176857.49,5501214.19,3747210.95,324356.7,53829.51,0.2686,33928568.78,25093166.46,37371507.41,1358283.26,2591957.09,6003295.03,0.8801,1779,10157.55,0.2333,0.848,4319,0,14284270.02,199,101823.92
REC100028,2025-08-11,LOC010,Latin America,Brazil,Brazil,São Paulo,Campinas,Campinas Plant,Consumer,LATAM,Brazil Southeast,-22.91,-47.06,PROD006,Delta,Software,Software,Analytics Suite,Synapse,SYN-DE-2686,Y,2023, y ,CUST010,Inactive,Vertex Mining PLC,,Mid-Market,MINING,Distributor,S. Müller,0,Tier 2,Brazil, Latin America  , y ,SCN001,Actual,Actual,v1,CUR008,BRL,BRAZILIAN REAL,0.2,2025-08-01, n ,,10588783.56,903144.64,376016.12,9309622.8,4188210.8,5121412.0,,647784.23,3623368.53,3946204.68,"2,685,690.50",322836.15,171590.4,0.2219,18421948.81,11532998.92,43859645.81,835154.4,1625054.25,837659.15,0.7065,1469,6358.11,0.1845,96.18,2327,1,5725721.29,210,50783.67
REC100029,2026-02-28,LOC007,Asia Pacific,East Asia,China,Guangdong,Shenzhen,Shenzhen Campus,Electronics,APAC,Greater China,22.54,114.06,PROD006,Delta,Software,Software, Analytics Suite,synapse,SYN-DE-2382,Active,2023,Y,CUST010,N,Vertex Mining PLC,Vertex Resources,Mid-Market,Mining,Distributor,M. Chen,,Tier 3,United States,North America,Active,SCN001,Actual,Actual,v1,CUR005,CNY,Chinese Yuan,0.14,2026-02-01,,28383118.44,31143375.11,,42507.73,28263338.15,13100431.05,"$15,162,907.10",1999934.05,1802698.22,,11927860.28,8885172.28,"567,585.46","369,807.68",0.1916,48805515.89,28136913.24,,"2,608,744.47",4431858.11,8257495.11,62.73,748,37945.35,0.103,0.9307,3987,0,16294606.55,989,32575.15
rec100030,2024-01-27,LOC008,Asia Pacific,East Asia,Japan,Tokyo,Tokyo,Tokyo Center,Technology,APAC,Japan,35.68,139.65,PROD005,Gamma,Drives, Hardware,Variable Frequency Drives,Voltis,VOL-GA-9791,,2018,1,CUST007,Y,Skyline Telecom,Skyline Group,Enterprise,Telecom,Direct,D. Johnson,FALSE,Tier 1,USA,North America,T,SCN001,Actual,Actual,v1,CUR006,JPY,Japanese Yen,0.01,2024-01-01,FALSE,15171348.46,"$17,395,600.71",1384812.27,639570.29,15371218.14,8268605.8,"$7,102,612.34",2471130.29,,4326768.63,4781284.82,3163836.42,454516.19,48171.36,,21047148.1,15463427.01,61127328.48,765207.24,3229087.89,"1,393,543.85",0.392,2983,5085.94,2.1%,0.8054,5371,0,9371576.49,3345,
REC100031,2025-08-27,LOC004, Europe  ,Western Europe,Germany,Bavaria,Munich,Munich Works,Automotive,EMEA,DACH,48.14,11.58,PROD002,Alpha,Sensors,Hardware,Temperature Sensors,Auron,AUR-AL-2486,Active,2021,T,CUST014,No,MetroBuild Corp,MetroBuild,Mid-Market,Construction,DIRECT,L. García,N,tier 3,Germany,Europe,,SCN004,Forecast,Rolling Forecast,RF_Q2,CUR002,EUR,Euro,1.11,01-Aug-2025,0,462299.46,486673.53, 28113.84 ,5411.97,453147.71,346148.53,106999.18,85158.08,32793.79, -10952.69 ,1151.28,-12219.71, 12103.97 ,1267.02,0.3777,762273.21,,1518497.28,,,140892.04,,2058,226.0,0.0952,0.9001,116,0,363659.81,2436,208.18
